formatted_date,high,low,open,close,volume,adjclose,open:10 days rolling,open:30 days rolling,open:50 days rolling
2010-06-29,1.6666669845581055,1.1693329811096191,1.2666670083999634,1.5926669836044312,281494500,1.5926669836044312,1.2666670083999634,1.2666670083999634,1.2666670083999634
2010-06-30,2.0280001163482666,1.553333044052124,1.7193330526351929,1.5886670351028442,257806500,1.5886670351028442,1.4930000305175781,1.4930000305175781,1.4930000305175781
2010-07-01,1.7280000448226929,1.3513330221176147,1.6666669845581055,1.4639999866485596,123282000,1.4639999866485596,1.550889015197754,1.550889015197754,1.550889015197754
2010-07-02,1.5399999618530273,1.24733304977417,1.5333329439163208,1.2799999713897705,77097000,1.2799999713897705,1.5464999973773956,1.5464999973773956,1.5464999973773956
2010-07-06,1.3333330154418945,1.0553330183029175,1.3333330154418945,1.0740000009536743,103003500,1.0740000009536743,1.5038666009902955,1.5038666009902955,1.5038666009902955
2010-07-07,1.108667016029358,0.9986670017242432,1.0933330059051514,1.053333044052124,103825500,1.053333044052124,1.4354443351427715,1.4354443351427715,1.4354443351427715
2010-07-08,1.1679999828338623,1.0379999876022339,1.0759999752044678,1.1640000343322754,115671000,1.1640000343322754,1.3840951408658708,1.3840951408658708,1.3840951408658708
2010-07-09,1.1933330297470093,1.1033329963684082,1.1720000505447388,1.159999966621399,60759000,1.159999966621399,1.3575832545757294,1.3575832545757294,1.3575832545757294
2010-07-12,1.2046669721603394,1.1333329677581787,1.196666955947876,1.136667013168335,33037500,1.136667013168335,1.3397036658393011,1.3397036658393011,1.3397036658393011
2010-07-13,1.2426669597625732,1.1266670227050781,1.1593329906463623,1.2093329429626465,40201500,1.2093329429626465,1.3216665983200073,1.3216665983200073,1.3216665983200073
2010-07-14,1.3433330059051514,1.184000015258789,1.1959999799728394,1.3226670026779175,62928000,1.3226670026779175,1.3145998954772948,1.3102423602884465,1.3102423602884465
2010-07-15,1.4333330392837524,1.2666670083999634,1.329332947731018,1.3259999752044678,56097000,1.3259999752044678,1.2755998849868775,1.3118332425753276,1.3118332425753276
2010-07-16,1.4199999570846558,1.3366669416427612,1.3799999952316284,1.3760000467300415,39319500,1.3760000467300415,1.2469331860542296,1.3170768389335046,1.3170768389335046
2010-07-19,1.4833329916000366,1.3946670293807983,1.4246670007705688,1.4606670141220093,37297500,1.4606670141220093,1.2360665917396545,1.3247618504932948,1.3247618504932948
2010-07-20,1.4566669464111328,1.3366669416427612,1.4566669464111328,1.3533329963684082,27379500,1.3533329963684082,1.2483999848365783,1.333555523554484,1.333555523554484
2010-07-21,1.3933329582214355,1.2999999523162842,1.3773330450057983,1.3480000495910645,18787500,1.3480000495910645,1.276799988746643,1.3362916186451912,1.3362916186451912
2010-07-22,1.4166669845581055,1.3580000400543213,1.3666670322418213,1.399999976158142,14367000,1.399999976158142,1.3058666944503785,1.3380784076802872,1.3380784076802872
2010-07-23,1.4373329877853394,1.4040000438690186,1.4126670360565186,1.4193329811096191,9804000,1.4193329811096191,1.3299333930015564,1.3422222203678555,1.3422222203678555
2010-07-26,1.4333330392837524,1.3533329963684082,1.4333330392837524,1.3966670036315918,13833000,1.3966670036315918,1.3536000013351441,1.347017526626587,1.347017526626587
2010-07-27,1.4119999408721924,1.3506669998168945,1.3940000534057617,1.3700000047683716,9295500,1.3700000047683716,1.377066707611084,1.3493666529655457,1.3493666529655457
2010-07-28,1.3933329582214355,1.3673330545425415,1.3700000047683716,1.3813329935073853,7008000,1.3813329935073853,1.3944667100906372,1.350349193527585,1.350349193527585
2010-07-29,1.3919999599456787,1.3333330154418945,1.3846670389175415,1.3566670417785645,9240000,1.3566670417785645,1.4000001192092895,1.3519090955907649,1.3519090955907649
2010-07-30,1.3626669645309448,1.303333044052124,1.3466670513153076,1.329332947731018,6403500,1.329332947731018,1.3966668248176575,1.3516811806222666,1.3516811806222666
2010-08-02,1.3980000019073486,1.3553329706192017,1.3666670322418213,1.3946670293807983,10771500,1.3946670293807983,1.3908668279647827,1.3523055911064148,1.3523055911064148
2010-08-03,1.463333010673523,1.3880000114440918,1.399999976158142,1.463333010673523,18457500,1.463333010673523,1.3852001309394837,1.354213366508484,1.354213366508484
2010-08-04,1.4786670207977295,1.3899999856948853,1.463333010673523,1.4173330068588257,13695000,1.4173330068588257,1.3938001275062561,1.358410275899447,1.358410275899447
2010-08-05,1.4366669654846191,1.3366669416427612,1.4359999895095825,1.363332986831665,11943000,1.363332986831665,1.4007334232330322,1.3612839689961187,1.3612839689961187
2010-08-06,1.343999981880188,1.301332950592041,1.340000033378601,1.305999994277954,11128500,1.305999994277954,1.3934667229652404,1.36052382843835,1.36052382843835
2010-08-09,1.3320000171661377,1.2966669797897339,1.3266669511795044,1.3066669702529907,12190500,1.3066669702529907,1.3828001141548156,1.359356349912183,1.359356349912183
